AGE;EDUCATION;MARITAL_STATUS;OCCUPATION;RELATIONSHIP;RACE;GENDER;PROSPECT_ID;EMPLOYMENT;YEARS_EDUC;COUNTRY_OF_BIRTH;WORKWEEK_LENGTH;INV_LOSSES;INV_EARNINGS;RESPONSE;AMOUNT
30;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800081;BUSINESS;9;USA;40;0;0;;
58;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;WIFE;WHITE;FEMALE;7800122;BUSINESS;9;USA;40;0;0;;
46;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800125;BUSINESS;9;USA;40;0;0;;
50;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800166;BUSINESS;9;USA;40;0;0;;
58;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7800180;BUSINESS;9;USA;40;0;0;;
58;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800190;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7800197;BUSINESS;9;USA;40;0;0;;
33;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800201;BUSINESS;9;USA;40;0;0;;
28;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800223;BUSINESS;9;USA;40;0;0;;
26;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7800232;BUSINESS;9;USA;40;0;0;;
40;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7800239;BUSINESS;9;USA;40;0;0;;
42;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7800283;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;HUSBAND;WHITE;MALE;7800302;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;WIFE;WHITE;FEMALE;7800345;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;SUPPORTTECHNIC;HUSBAND;WHITE;MALE;7800349;BUSINESS;9;USA;40;0;0;;
30;HIGHSCHOOL;MARRIEDCIVSPO;ADMINOFFICE;WIFE;WHITE;FEMALE;7800397;BUSINESS;9;USA;40;0;0;;
37;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800403;BUSINESS;9;USA;40;0;0;;
34;HIGHSCHOOL;MARRIEDCIVSPO;SALES;HUSBAND;WHITE;MALE;7800424;BUSINESS;9;USA;40;0;0;;
31;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800433;BUSINESS;9;USA;40;0;0;;
25;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800455;BUSINESS;9;USA;40;0;0;;
48;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800472;BUSINESS;9;USA;40;0;0;;
26;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7800480;BUSINESS;9;USA;40;0;0;;
47;HIGHSCHOOL;MARRIEDCIVSPO;SERVICEPROTECT;HUSBAND;WHITE;MALE;7800500;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7800507;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800530;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800553;BUSINESS;9;USA;40;0;0;;
51;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800562;BUSINESS;9;USA;40;0;0;;
63;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7800569;BUSINESS;9;USA;40;0;0;;
44;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800586;BUSINESS;9;USA;40;0;0;;
45;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800605;BUSINESS;9;USA;40;0;0;;
53;HIGHSCHOOL;MARRIEDCIVSPO;CLEANINGHANDLING;HUSBAND;WHITE;MALE;7800626;BUSINESS;9;USA;40;0;0;;
38;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800662;BUSINESS;9;USA;40;0;0;;
29;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800743;BUSINESS;9;USA;40;0;0;;
41;HIGHSCHOOL;MARRIEDCIVSPO;MACHINEOPERINSP;HUSBAND;WHITE;MALE;7800746;BUSINESS;9;USA;40;0;0;;
54;HIGHSCHOOL;MARRIEDCIVSPO;LOGISTICSTRANSP;HUSBAND;WHITE;MALE;7800788;BUSINESS;9;USA;40;0;0;;
40;HIGHSCHOOL;MARRIEDCIVSPO;REPAIRCRAFT;HUSBAND;WHITE;MALE;7800801;BUSINESS;9;USA;40;0;0;;
