YEAR;WEEK;BRATWURST;CERVELAS;CHARCUTERIE;DAUERFLEISCHWAREN;GEFLUEGEL;GERAEUCHERTES_ZUM_KOCHEN;HACKFLEISCH;INNEREIEN_DIVERSES;KALB;KANINCHEN;LAMM;MARINADEN;PASTETEN_TERRINEN_STREICHWURST;PFANNENFERTIGES;PFERD;RIND;SALAMI_ROHWURST_AM_STUECK;SCHINKEN;SCHWEIN;UEBRIGE_BRUEHWURST_STUECK;WIENERLI_KNACKERLI_FRANKFURTERLI
2015;22;57124;41876;92327;102360;77169;28509;18486;1808;5200;688;7535;3108;11682;25661;2427;28039;21738;48984;46785;8448;19928
2015;23;72107;64329;98496;113967;90767;28299;19605;2029;9001;369;8654;3990;12506;29009;3210;21241;24317;50597;59189;10019;19790
2015;24;56969;45117;101687;111525;90082;33498;31692;2023;5641;189;6456;3040;12263;21389;2776;27261;25381;51807;46069;8552;17994
2015;25;49850;41241;102218;107127;81064;33566;23721;2187;5566;261;5691;2616;12388;28737;2418;23890;22913;53321;54975;8493;22483
2015;26;66651;57578;95516;109460;85726;30020;19876;1982;4971;173;16152;3224;12250;25363;2870;26551;22164;51120;50907;8856;19530
2015;27;70443;72587;101150;115530;93701;29786;25885;1840;7744;613;9100;4015;12681;29496;3267;29603;32359;52237;47636;10370;19163
2015;28;59207;56682;94655;113579;82690;29392;20853;1741;4420;354;8338;3636;12704;39205;2878;25690;30044;50081;49024;8713;17310
2015;29;64485;50997;97353;112654;85044;33453;19381;1758;5643;191;12153;3390;12624;25906;3624;19574;26287;49532;55780;8026;20919
2015;30;57154;50844;95836;112372;83793;36478;29080;1688;4985;120;9467;3090;13420;22850;2813;30082;28043;49882;50050;8081;20471
2015;31;57541;47799;86791;104080;78216;37734;21573;1725;5238;206;8486;4054;14019;33318;2599;24327;26428;49748;52718;7105;18144
2015;32;65491;54091;103152;127584;88270;36670;21983;1838;5279;193;8009;3530;14001;28349;2796;32773;30778;55246;46013;8727;18996
2015;33;54316;41160;102189;121685;83163;39884;35881;2097;7200;241;14284;2286;13740;21475;2243;24200;29291;57118;41046;8521;20919
2015;34;47963;42444;94098;116389;80407;51052;24213;1987;6390;177;7564;2003;12000;30171;2233;22994;26289;53011;39882;8131;23572
2015;35;44696;43619;98777;114742;77597;50347;23108;2487;6252;217;5730;2369;12822;28886;2013;25388;27324;55603;46014;8680;20961
2015;36;31076;28861;97790;105924;70863;52733;31791;2935;6510;959;4392;1444;12697;27884;1676;18775;28867;53486;40854;7801;21761
