ID;TRAFFIC;TYPE
D_E1190;29652;1
D_G4090;15567;1
D_H5210;19268;1
D_H6120;20122;1
D_I10H0;130785;1
D_I2090;28642;1
D_I2590;34361;1
D_J1890;18551;1
D_J2090;16594;1
D_J3040;16163;1
D_J4490;23058;1
D_J4590;34934;1
D_M1690;20396;1
D_M1790;21650;1
D_M4780;30752;1
D_M5110;27841;1
D_M5440;14798;1
D_M5450;15712;1
D_R1030;19723;1
D_R1040;39478;1
L_BAR7;23189;2
L_BNC11;19100;2
L_BNR20;40414;2
L_BSK5;36672;2
L_BTD8;191806;2
L_CDO8;26285;2
L_FRJ5;26652;2
L_GNO17;12870;2
L_HRJ11;29005;2
L_HSV5;6094;2
L_JKS20;14178;2
L_KMM17;12418;2
L_NDG6;9402;2
L_PTS4;63979;2
L_SGA22;8007;2
L_SYM6;17095;2
L_TAL5;8758;2
L_VMS8;13154;2
L_VSS3;1362;2
L_ZAL4;17607;2
