POINT;TONS;CODE_GROUP;NAME_GROUP;CODE_ITEM;CODE_ORIGIN;CODE_DESTINATION;WAGON_OWNER;TONKMS1000
15/01/2014;608.543;G01;Grain;ITM1;STA128;STA441;operator owned;46.248
15/01/2014;1137.332;G01;Grain;ITM1;STA128;STA441;operator owned;86.432
15/01/2014;521.951;G01;Grain;ITM1;STA128;STA93;operator owned;714.544
15/01/2014;1152.375;G01;Grain;ITM1;STA128;STA93;operator owned;1577.61
15/01/2014;373.92;G01;Grain;ITM1;STA174;STA93;operator owned;526.846
15/01/2014;1204.662;G01;Grain;ITM1;STA174;STA93;operator owned;1697.363
15/01/2014;422.074;G01;Grain;ITM1;STA351;STA93;operator owned;38.401
15/01/2014;933.127;G01;Grain;ITM1;STA16;STA33;operator owned;1717.88
15/01/2014;1977.84;G01;Grain;ITM1;STA16;STA54;operator owned;3627.356
15/01/2014;831.48;G01;Grain;ITM1;STA16;STA77;operator owned;1530.747
15/01/2014;164.82;G01;Grain;ITM1;STA16;STA365;operator owned;279.198
15/01/2014;1348.08;G01;Grain;ITM1;STA200;STA54;operator owned;2538.425
15/01/2014;2744.745;G01;Grain;ITM1;STA200;STA54;operator owned;5168.349
15/01/2014;78.72;G01;Grain;ITM1;STA335;STA440;operator owned;165.152
15/01/2014;2421.501;G01;Grain;ITM1;STA7;STA54;operator owned;4581.479
15/01/2014;411.066;G01;Grain;ITM1;STA401;STA54;operator owned;740.448
15/01/2014;1628.458;G01;Grain;ITM1;STA373;STA54;operator owned;3162.478
15/01/2014;659.28;G01;Grain;ITM1;STA373;STA215;operator owned;1262.521
15/01/2014;1568.988;G01;Grain;ITM1;STA412;STA386;operator owned;3364.198
15/01/2014;500.61;G01;Grain;ITM1;STA138;STA54;operator owned;925.624
15/01/2014;246.504;G01;Grain;ITM1;STA163;STA110;operator owned;453.821
15/01/2014;147.6;G01;Grain;ITM1;STA212;STA337;operator owned;286.639
15/01/2014;760.14;G01;Grain;ITM1;STA363;STA54;operator owned;1386.493
15/01/2014;1005.402;G01;Grain;ITM1;STA383;STA54;operator owned;1875.073
15/01/2014;585.603;G01;Grain;ITM1;STA400;STA343;operator owned;405.814
15/01/2014;80.995;G01;Grain;ITM1;STA400;STA110;railroad own;155.583
15/01/2014;158.855;G01;Grain;ITM1;STA400;STA110;operator owned;305.151
15/01/2014;73.8;G01;Grain;ITM1;STA400;STA376;operator owned;146.419
15/01/2014;662.109;G01;Grain;ITM1;STA400;STA54;operator owned;1261.316
15/01/2014;159.9;G01;Grain;ITM1;STA19;STA307;operator owned;283.663
15/01/2014;161.597;G01;Grain;ITM1;STA85;STA215;operator owned;308.164
15/01/2014;590.4;G01;Grain;ITM1;STA8;STA54;operator owned;853.718
15/01/2014;86.1;G01;Grain;ITM1;STA214;STA307;railroad own;128.72
15/01/2014;4110.045;G01;Grain;ITM1;STA214;STA307;operator owned;6094.355
15/01/2014;1518.189;G01;Grain;ITM1;STA214;STA318;operator owned;2395.696
15/01/2014;590.4;G01;Grain;ITM1;STA264;STA370;operator owned;196.603
15/01/2014;83.64;G01;Grain;ITM1;STA306;STA46;operator owned;134.66
15/01/2014;221.4;G01;Grain;ITM1;STA306;STA38;operator owned;263.687
15/01/2014;1997.458;G01;Grain;ITM1;STA306;STA58;operator owned;2360.985
15/01/2014;247.23;G01;Grain;ITM1;STA306;STA337;operator owned;463.55
15/01/2014;79.95;G01;Grain;ITM1;STA306;STA337;operator owned;149.9
15/01/2014;442.8;G01;Grain;ITM1;STA306;STA33;operator owned;750.103
15/01/2014;67.158;G01;Grain;ITM1;STA306;STA142;operator owned;115.239
15/01/2014;84.87;G01;Grain;ITM1;STA306;STA191;railroad own;142.065
15/01/2014;2294.749;G01;Grain;ITM1;STA306;STA191;operator owned;3841.401
15/01/2014;163.037;G01;Grain;ITM1;STA306;STA307;operator owned;261.338
15/01/2014;73.8;G01;Grain;ITM1;STA306;STA365;railroad own;114.169
15/01/2014;221.4;G01;Grain;ITM1;STA306;STA365;operator owned;342.506
15/01/2014;1180.8;G01;Grain;ITM1;STA306;STA365;operator owned;1826.698
15/01/2014;486.096;G01;Grain;ITM1;STA306;STA318;operator owned;819.549
15/01/2014;81.303;G01;Grain;ITM1;STA63;STA306;railroad own;24.059
15/01/2014;2710.662;G01;Grain;ITM1;STA63;STA306;operator owned;726.45
15/01/2014;2015.662;G01;Grain;ITM1;STA63;STA77;operator owned;3087.989
15/01/2014;159.9;G01;Grain;ITM1;STA108;STA337;operator owned;286.541
15/01/2014;83.64;G01;Grain;ITM1;STA202;STA102;operator owned;127.293
15/01/2014;147.6;G01;Grain;ITM1;STA402;STA434;operator owned;306.713
